timestamp,event,path,landing_path,source,product_slug,cta_location,label,referrer,utm_source,utm_medium,utm_campaign
2026-09-23T12:00:00+03:00,guide_product_click,/guides/reorder-point/,/guides/reorder-point/,reorder_point_guide,restock-desk,final_cta,شوف ReStock Desk,https://www.google.com/,google,organic,
2026-09-23T12:02:00+03:00,product_view,/products/restock-desk/,/guides/reorder-point/,product_page,restock-desk,unknown,,https://digital-execution.cc/guides/reorder-point/,google,organic,
2026-09-23T12:04:00+03:00,product_whatsapp_click,/products/restock-desk/,/guides/reorder-point/,product_page,restock-desk,checkout,أرسل إثبات الدفع واستلم ReStock Desk,https://digital-execution.cc/products/restock-desk/,google,organic,
2026-09-23T12:01:00+03:00,category_view,/products/,/products/,products_catalog,,catalog,,,direct,,
2026-09-23T12:01:30+03:00,search,/products/,/products/,url_query,,catalog,,https://digital-execution.cc/products/,direct,,
2026-09-23T12:05:00+03:00,qualified_lead,/products/validation.html,/products/validation.html,validation_sprint,order-desk,interest_form,qualified lead,,,validation-sprint,
2026-09-23T12:10:00+03:00,order,/products/restock-desk/,/products/restock-desk/,verified_order,restock-desk,manual_confirmation,confirmed order,,,direct,
2026-09-24T12:00:00+03:00,repeat_offer_view,/after-purchase/business/,/after-purchase/business/,post_purchase,restock-desk,repeat_offer,عرض الخطوة التالية,,,direct,
2026-09-24T12:01:00+03:00,repeat_purchase_click,/after-purchase/business/,/after-purchase/business/,post_purchase,business-control-pack,repeat_offer,عرض المنتج,,,direct,
2026-09-24T12:10:00+03:00,repeat_purchase,/products/business-control-pack/,/after-purchase/business/,verified_repeat_order,business-control-pack,manual_confirmation,verified repeat purchase,,,direct,
